RecordName,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,146
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,102
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,116
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,104
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,134
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,113
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,120
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,109
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,145
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,104
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,121
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,115
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,123
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,142
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,102
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,139
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,103
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,142
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,130
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,109
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,112
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,131
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,145
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,135
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,101
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,137
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,124
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,113
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,121
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,139
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,129
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,105
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,131
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,109
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,126
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,143
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,110
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,103
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,109
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,118
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,135
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,116
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,111
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,140
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,113
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,142
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,119
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,121
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,120
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,140
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,136
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,124
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,110
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,140
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,100
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,120
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,102
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,104
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,119
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,100
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,139
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,103
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,119
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,106
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,146
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,112
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,103
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,130
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,130
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,128
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,137
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,134
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,136
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,123
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,102
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,104
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,103
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,107
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,129
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,128
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,143
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,118
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,119
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,132
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,130
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,139
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,135
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,117
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,122
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,130
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,130
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,132
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,142
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,109
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,100
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,121
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,109
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,134
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,122
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,104
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,110
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,110
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,121
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,137
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,108
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,146
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,127
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,134
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,144
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,127
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,100
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,125
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,132
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,118
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,134
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,140
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,110
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,138
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,124
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,131
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,108
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,127
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,102
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,146
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,117
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,123
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,137
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,140
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,101
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,123
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,123
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,139
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,139
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,115
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,125
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,106
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,123
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,120
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,134
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,128
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,122
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,108
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,136
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,100
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,134
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,101
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,103
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,122
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,104
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,132
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,128
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,146
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,137
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,139
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,119
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,110
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,127
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,127
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,119
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,136
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,144
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,144
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,107
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,134
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,100
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,144
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,132
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,144
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,112
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,144
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,100
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,123
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,118
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,132
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,127
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,128
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,100
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,114
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,100
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,139
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,121
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,127
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,101
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,127
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,106
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,112
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,133
Observed Emission Full,2021,Honda,Civic,Compact,2,4,Manual,Gasoline,9.1,6.5,7.8,30,119
Observed Emission Full,2022,Ford,Escape,SUV,2.5,6,Automatic,Diesel,10.5,7.2,8.9,27,100
Observed Emission Full,2023,Chevrolet,Malibu,Midsize,2,4,CVT,Hybrid,5.5,5,5.3,44,129
Observed Emission Full,2024,BMW,X5,SUV,3,6,Automatic,Gasoline,11.8,8.7,10,24,101
Observed Emission Full,2020,Toyota,Corolla,Compact,1.8,4,Automatic,Gasoline,8.3,6.7,7.5,31,117
